Plant Id,Plant Name,Entity Id,Entity Name,County,State,Latitude,Longitude
59314,WED Coventry 6,59117,"WED Coventry Six, LLC",Kent,RI,41.669722,-71.70833
59315,Hecate Energy Beacon Solar 1,58661,"Sustainable Power Group, LLC",Kern,CA,35.269444,-118.0144
59316,Hecate Energy Beacon Solar 3,58661,"Sustainable Power Group, LLC",Kern,CA,35.253056,-118.0147
59317,Hecate Energy Beacon Solar 4,58661,"Sustainable Power Group, LLC",Kern,CA,35.253611,-118.0269
59318,North Run,56990,NJR Clean Energy Ventures Corporation,Burlington,NJ,40.069601,-74.58484
59319,Rock Solid,56990,NJR Clean Energy Ventures Corporation,Monmouth,NJ,40.229725,-74.22582
59320,Los Vientos Windpower III,59119,"Los Vientos Windpower III, LLC",Starr,TX,26.388611,-98.80611
59321,Los Vientos Windpower IV,59120,"Los Vientos Windpower IV, LLC",Starr,TX,26.380556,-98.81833
59322,Pumpjack Solar I,59121,"Pumpjack Solar I, LLC",Kern,CA,35.305556,-119.6225
59323,Sacramento (SMUD),57081,"WGL Energy Systems, Inc",Sacramento,CA,38.587222,-121.4578
59324,MCCo Solar Generating Facility,59122,The Medical Center Company,Cuyahoga,OH,41.516389,-81.59722
59325,Kings Mountain Energy Center,59123,"NTE Carolinas, LLC",Cleveland,NC,35.2025,-81.36306
59326,Middletown Energy Center,59124,NTE Ohio LLC,Butler,OH,39.465,-84.34778
59327,Marlboro Mushrooms Solar Field,59125,Marlboro Mushroom,Chester,PA,39.882778,-75.82944
59328,Golden Acorn Casino,59129,"Foundation CA Fund VII Manager, LLC",San Diego,CA,32.702107,-116.3546
59329,City of Soledad Water Reclamation,59129,"Foundation CA Fund VII Manager, LLC",Monterey,CA,36.421111,-121.3403
59330,Taylor Farms,59129,"Foundation CA Fund VII Manager, LLC",Monterey,CA,36.505,-121.4517
59331,Anheuser-Busch #2,59129,"Foundation CA Fund VII Manager, LLC",Solano,CA,38.233611,-122.0925
59332,Mesquite Creek Wind,59900,"Mesquite Creek Wind, LLC",Dawson,TX,32.7,-101.7411
59333,Faison Solar,60025,Greenbacker Renewable Energy Corporation,Duplin,NC,35.069722,-78.11611
59334,"Catalina Solar 2, LLC",58468,Dominion Renewable Energy,Kern,CA,34.812222,-118.3528
59335,MCLB Landfill Gas to Energy,59135,Inst and Envir Div Marine Logistics Base,Dougherty,GA,31.546111,-84.0675
59336,Palmer Renewable Energy,59137,Palmer Renewable Energy,Hampden,MA,42.148889,-72.54528
59337,Harrell's Hill Solar Center LLC,61119,"SRE Utility Solar 1, LLC",Wayne,NC,35.211944,-78.10083
59338,Gila River Power Block 1,60459,CXA Sundevil Power I,Maricopa,AZ,32.975,-112.6944
59339,Quinto Solar PV Project,59138,"SunPower Corporation, Systems",Merced,CA,37.130278,-121.0522
59357,Dorena Hydro-Electric Facility,59140,"Dorena Hydro, LLC",Lane,OR,43.786667,-122.9581
59358,Devens,59141,Devens,Middlesex,MA,42.559173,-71.62588
59359,SCE-Snowline-Duncan Road (North),59139,SunEdison LLC,San Bernardino,CA,34.473889,-117.5628
59360,SCE-Snowline-Duncan Road (South),59139,SunEdison LLC,San Bernardino,CA,34.471389,-117.5622
59361,Browne Solar LLC,58258,SunRay Power LLC,Hampden,MA,42.200833,-72.32222
59362,Indian Hill Solar LLC,58258,SunRay Power LLC,Hampden,MA,42.200833,-72.32222
59363,State Street Solar LLC,58258,SunRay Power LLC,Hampden,MA,42.200833,-72.32222
59364,Plainfield One Solar LLC,58258,SunRay Power LLC,Somerset,NJ,40.605,-74.43944
59365,24 Applegate Solar LLC,58258,SunRay Power LLC,Mercer,NJ,40.205833,-74.57972
59366,G&S Wantage Solar LLC,58258,SunRay Power LLC,Sussex,NJ,41.189167,-74.59167
59367,Engelhard Solar LLC,58258,SunRay Power LLC,Middlesex,NJ,40.33,-74.4625
59368,Westborough Solar LLC,58258,SunRay Power LLC,Worcester,MA,42.263333,-71.60917
59369,Lakewood Seven Solar LLC,58258,SunRay Power LLC,Ocean,NJ,40.0575,-74.18556
59370,4 Applegate Solar LLC,58258,SunRay Power LLC,Mercer,NJ,40.196389,-74.58361
59371,12 Applegate Solar LLC,58258,SunRay Power LLC,Mercer,NJ,40.200278,-74.57611
59373,Broshco Fabricated Products,59147,Broshco Fabricated Products,Richland,OH,40.776111,-82.56861
59374,Old Mill Solar,59143,Old Mill Solar,Klamath,OR,42.203333,-121.0464
59375,Rose Hill,59150,Rose Hill Solar LLC,Duplin,NC,34.823889,-77.96972
59376,Dunn,59149,"Dunn Solar, LLC",Harnett,NC,35.475,-78.54861
59377,Town of Cary,59153,"FLS Solar 80, LLC",Duplin,NC,34.823889,-77.96972
59378,Helios Plaza CHP Plant,59148,BP Helios Plaza,,,29.783333,-95.63333
59379,Wapsie Valley Creamery Back Up Generator,59156,Wapsie Valley Creamery,Buchanan,IA,42.477778,-91.89111
59380,"Wildwood Solar I, LLC",59158,"Wildwood Solar I, LLC",Kern,CA,35.615833,-119.5783
59381,"The Methodist Hospital, Gas Turbine",59157,The Methodist Hospital,Harris,TX,29.709444,-95.40028
59382,Paisley Geothermal Generating Plant,18260,Surprise Valley Electrification,Lake,OR,42.695833,-120.5578
59383,"East Kansas Agri-Energy, LLC",59160,"East Kansas Agri-Energy, LLC",Anderson,KS,38.2725,-95.24028
59384,South Plains Wind Phase I,59155,"First Wind O&M, LLC",Floyd,TX,34.080556,-101.3236
59386,"Enterprise Solar, LLC",58468,Dominion Renewable Energy,Iron,UT,37.641111,-113.6125
59387,"Escalante Solar I, LLC",58468,Dominion Renewable Energy,Beaver,UT,38.524167,-113.0339
59388,"Escalante Solar II, LLC",58468,Dominion Renewable Energy,Beaver,UT,38.500833,-113.03
59389,"Escalante Solar III, LLC",58468,Dominion Renewable Energy,Beaver,UT,38.497778,-112.9869
59390,True North,58677,CD US Solar MT1 LLC,Essex,MA,42.8475,-70.89833
